query	qlen
100K__YP_009246359__Bat_mastadenovirus_WIV9__1788436	842
100K__YP_009246392__Bat_mastadenovirus_WIV10__1788432	841
100K__YP_009246431__Bat_mastadenovirus_WIV11__1788433	840
100L__NP_938355__Yaba_monkey_tumor_virus__38804	79
100L_protein__NP_073485__Yaba-like_disease_virus__132475	79
101L__NP_938356__Yaba_monkey_tumor_virus__38804	902
101L_protein__NP_073486__Yaba-like_disease_virus__132475	902
102R__NP_938357__Yaba_monkey_tumor_virus__38804	314
102R_protein__NP_073487__Yaba-like_disease_virus__132475	311
103L__NP_938358__Yaba_monkey_tumor_virus__38804	167
103L_protein__NP_073488__Yaba-like_disease_virus__132475	170
104L_protein__NP_073489__Yaba-like_disease_virus__132475	68
105L_protein__NP_073490__Yaba-like_disease_virus__132475	93
106L__NP_938361__Yaba_monkey_tumor_virus__38804	62
106L_protein__NP_073491__Yaba-like_disease_virus__132475	53
107L__NP_938362__Yaba_monkey_tumor_virus__38804	94
107L_protein__NP_073492__Yaba-like_disease_virus__132475	94
108L__NP_938363__Yaba_monkey_tumor_virus__38804	381
108L_protein__NP_073493__Yaba-like_disease_virus__132475	381
109L__NP_938364__Yaba_monkey_tumor_virus__38804	189
109L_protein__NP_073494__Yaba-like_disease_virus__132475	191
10L_protein__NP_073395__Yaba-like_disease_virus__132475	383
11-kDa_protein__NP_694868__Human_erythrovirus_V9__72197	103
110R__NP_938365__Yaba_monkey_tumor_virus__38804	478
110R_protein__NP_073495__Yaba-like_disease_virus__132475	479
111L__NP_938366__Yaba_monkey_tumor_virus__38804	74
111L_protein__NP_073496__Yaba-like_disease_virus__132475	74
112L_protein__NP_073497__Yaba-like_disease_virus__132475	110
113R__NP_938368__Yaba_monkey_tumor_virus__38804	426
113R_protein__NP_073498__Yaba-like_disease_virus__132475	425
114R__NP_938369__Yaba_monkey_tumor_virus__38804	158
114R_protein__NP_073499__Yaba-like_disease_virus__132475	157
115R__NP_938370__Yaba_monkey_tumor_virus__38804	382
115R_protein__NP_073500__Yaba-like_disease_virus__132475	383
116R__NP_938371__Yaba_monkey_tumor_virus__38804	1164
116R_protein__NP_073501__Yaba-like_disease_virus__132475	1165
117L_protein__NP_073502__Yaba-like_disease_virus__132475	148
118L__NP_938373__Yaba_monkey_tumor_virus__38804	141
118L_protein__NP_073503__Yaba-like_disease_virus__132475	139
119L__NP_938374__Yaba_monkey_tumor_virus__38804	300
119L_protein__NP_073504__Yaba-like_disease_virus__132475	300
11L_protein__NP_073396__Yaba-like_disease_virus__132475	637
11_kDa_protein__YP_004928149__Human_parvovirus_B19__10798	94
12.7_kDa_non-structural_protein__NP_150080__Bovine_coronavirus__11128	109
120L_protein__NP_073505__Yaba-like_disease_virus__132475	75
121L__NP_938377__Yaba_monkey_tumor_virus__38804	254
121L_protin__NP_073506__Yaba-like_disease_virus__132475	253
122R_protein__NP_073507__Yaba-like_disease_virus__132475	186
123R_protein__NP_073508__Yaba-like_disease_virus__132475	170
124R_protein__NP_073509__Yaba-like_disease_virus__132475	179
125R_protein__NP_073510__Yaba-like_disease_virus__132475	285
126R__NP_938382__Yaba_monkey_tumor_virus__38804	164
126R_protein__NP_073511__Yaba-like_disease_virus__132475	223
127R_protein__NP_073512__Yaba-like_disease_virus__132475	270
128L_protein__NP_073513__Yaba-like_disease_virus__132475	272
129R_protein__NP_073514__Yaba-like_disease_virus__132475	138
12L_protein__NP_073397__Yaba-like_disease_virus__132475	88
130L_protein__NP_073515__Yaba-like_disease_virus__132475	186
131R_protein__NP_073516__Yaba-like_disease_virus__132475	68
132R_protein__NP_073517__Yaba-like_disease_virus__132475	82
133L_protein__NP_073518__Yaba-like_disease_virus__132475	343
134R_protein__NP_073519__Yaba-like_disease_virus__132475	156
136R_protein__NP_073521__Yaba-like_disease_virus__132475	351
137R_protein__NP_073522__Yaba-like_disease_virus__132475	153
138R__NP_938390__Yaba_monkey_tumor_virus__38804	339
138R_protein__NP_073523__Yaba-like_disease_virus__132475	338
139R_protein__NP_073524__Yaba-like_disease_virus__132475	190
13L_protein__NP_073398__Yaba-like_disease_virus__132475	285
140R_protein__NP_073525__Yaba-like_disease_virus__132475	570
141R_protein__NP_073526__Yaba-like_disease_virus__132475	120
142R__NP_938393__Yaba_monkey_tumor_virus__38804	309
142R_protein__NP_073527__Yaba-like_disease_virus__132475	309
143R_protein__NP_073528__Yaba-like_disease_virus__132475	234
144R_protein__NP_073529__Yaba-like_disease_virus__132475	267
145R_protein__NP_073530__Yaba-like_disease_virus__132475	323
146R_protein__NP_073531__Yaba-like_disease_virus__132475	473
147R_protein__NP_073532__Yaba-like_disease_virus__132475	491
148R_protein__NP_073533__Yaba-like_disease_virus__132475	476
149R__NP_938400__Yaba_monkey_tumor_virus__38804	309
149R_protein__NP_073534__Yaba-like_disease_virus__132475	334
14L_protein__NP_073399__Yaba-like_disease_virus__132475	136
150R_protein__NP_073535__Yaba-like_disease_virus__132475	100
151R_protein__NP_073536__Yaba-like_disease_virus__132475	333
15L_protein__NP_073400__Yaba-like_disease_virus__132475	77
16L_protein__NP_073401__Yaba-like_disease_virus__132475	176
17L_protein__NP_073402__Yaba-like_disease_virus__132475	143
18L_protein__NP_073403__Yaba-like_disease_virus__132475	127
19L_protein__NP_073404__Yaba-like_disease_virus__132475	522
1B_VP2_mature_peptide__NP_740550__Hepatovirus_A__12092	222
1C_VP3_mature_peptide__NP_740551__Hepatovirus_A__12092	246
1D_VP1_mature_peptide__NP_740552__Hepatovirus_A__12092	300
1L_protein__NP_073386__Yaba-like_disease_virus__132475	333
2-O-MTase__NP_828873__SARS_coronavirus_Tor2__227984	298
2-O-MTase__YP_009555257__Human_coronavirus_OC43__31631	299
2-O-methyltransferase__YP_009047227__Middle_East_respiratory_syndrome-related_coronavirus__1335626	303
2-O-methyltransferase__YP_009944306__Betacoronavirus_England_1__1263720	303
2-O-ribose_methyltransferase__YP_009725311__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	298
20L__NP_938276__Yaba_monkey_tumor_virus__38804	325
20L_protein__NP_073405__Yaba-like_disease_virus__132475	325
21L_protein__NP_073406__Yaba-like_disease_virus__132475	82
21kDa_precursor_protein__YP_233071__Vaccinia_virus__10245	182
22K__YP_009246361__Bat_mastadenovirus_WIV9__1788436	206
22K__YP_009246394__Bat_mastadenovirus_WIV10__1788432	205
22K__YP_009246433__Bat_mastadenovirus_WIV11__1788433	204
22L__NP_938278__Yaba_monkey_tumor_virus__38804	75
22L_protein__NP_073407__Yaba-like_disease_virus__132475	103
23-sialyltransferase__YP_009408543__NY_014_poxvirus__2025360	300
23L_protein__NP_073408__Yaba-like_disease_virus__132475	71
24L_protein__NP_073409__Yaba-like_disease_virus__132475	214
25L_protein__NP_073410__Yaba-like_disease_virus__132475	445
26L_protein__NP_073411__Yaba-like_disease_virus__132475	642
27L_protein__NP_073412__Yaba-like_disease_virus__132475	370
28R_protein__NP_073413__Yaba-like_disease_virus__132475	73
29L_protein__NP_073414__Yaba-like_disease_virus__132475	148
2A__NP_740438__Aichi_virus_1__1313215	111
2A__NP_859022__Aichivirus_B__194965	134
2A__YP_002956081__Cosavirus_E__2003651	37
2A__YP_002956101__Cosavirus_A__1330491	30
2A__YP_002956112__Human_cosavirus_B__586420	31
2A__YP_002956123__Cosavirus_D__2003650	30
2A__YP_003038638__Salivirus_NG-J1__651733	119
2A_mature_peptide__NP_740553__Hepatovirus_A__12092	189
2A_protein__NP_740731__Parechovirus_A__1803956	143
2B__NP_740439__Aichi_virus_1__1313215	165
2B__NP_859023__Aichivirus_B__194965	165
2B__YP_002956082__Cosavirus_E__2003651	120
2B__YP_002956102__Cosavirus_A__1330491	121
2B__YP_002956113__Human_cosavirus_B__586420	119
2B__YP_002956124__Cosavirus_D__2003650	120
2B__YP_003038639__Salivirus_NG-J1__651733	153
2B__YP_009268635__enterovirus_A114__2760809	99
2B_mature_peptide__NP_740554__Hepatovirus_A__12092	107
2B_protein__YP_006383903__Encephalomyocarditis_virus__12104	128
2C__NP_740440__Aichi_virus_1__1313215	335
2C__NP_859024__Aichivirus_B__194965	335
2C__YP_002956083__Cosavirus_E__2003651	321
2C__YP_003038640__Salivirus_NG-J1__651733	346
2C__YP_009268636__enterovirus_A114__2760809	329
2C_mature_peptide__NP_740555__Hepatovirus_A__12092	335
2C_protein__NP_740733__Parechovirus_A__1803956	329
2L_protein__NP_073387__Yaba-like_disease_virus__132475	338
2b_protein__NP_740732__Parechovirus_A__1803956	129
3-to-5_exonuclease__YP_009725309__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	527
30L_protein__NP_073415__Yaba-like_disease_virus__132475	215
31R_protein__NP_073416__Yaba-like_disease_virus__132475	105
32L_protein__NP_073417__Yaba-like_disease_virus__132475	470
32_kDa_non-structural_protein__NP_150075__Bovine_coronavirus__11128	278
32kDa_small_subunit_of_transcription_factor_VITF-3__YP_233009__Vaccinia_virus__10245	288
33K__YP_009246360__Bat_mastadenovirus_WIV9__1788436	261
33K__YP_009246393__Bat_mastadenovirus_WIV10__1788432	260
33K__YP_009246432__Bat_mastadenovirus_WIV11__1788433	259
33L_protein__NP_073418__Yaba-like_disease_virus__132475	685
34L_protein__NP_073419__Yaba-like_disease_virus__132475	185
35L_protein__NP_073420__Yaba-like_disease_virus__132475	189
36R_protein__NP_073421__Yaba-like_disease_virus__132475	348
36_kDa_major_membrane_protein__NP_042073__Variola_virus__10255	322
36kDa_major_membrane_protein__YP_009408423__NY_014_poxvirus__2025360	327
37R_protein__NP_073422__Yaba-like_disease_virus__132475	567
38R_protein__NP_073423__Yaba-like_disease_virus__132475	268
39L_protein__NP_073424__Yaba-like_disease_virus__132475	1006
39kDa_core_protein__YP_233005__Vaccinia_virus__10245	281
39kDa_virion_core_protein__YP_009408503__NY_014_poxvirus__2025360	309
3A__NP_740441__Aichi_virus_1__1313215	95
3A__NP_859025__Aichivirus_B__194965	94
3A__YP_002956084__Cosavirus_E__2003651	103
3A__YP_002956104__Cosavirus_A__1330491	108
3A__YP_002956115__Human_cosavirus_B__586420	102
3A__YP_002956126__Cosavirus_D__2003650	108
3A__YP_003038641__Salivirus_NG-J1__651733	77
3A__YP_009268637__enterovirus_A114__2760809	86
3A_mature_peptide__NP_740556__Hepatovirus_A__12092	74
3A_protein__NP_740734__Parechovirus_A__1803956	117
3B__NP_740442__Aichi_virus_1__1313215	27
3B__NP_859026__Aichivirus_B__194965	30
3B__YP_002956085__Cosavirus_E__2003651	19
3B__YP_002956105__Cosavirus_A__1330491	19
3B__YP_002956116__Human_cosavirus_B__586420	19
3B__YP_002956127__Cosavirus_D__2003650	19
3B__YP_003038642__Salivirus_NG-J1__651733	29
3B__YP_009268638__enterovirus_A114__2760809	22
3C-like_cysteine_proteinase__YP_009944285__Betacoronavirus_England_1__1263720	306
3C-like_cysteine_proteinase__YP_009944296__Betacoronavirus_England_1__1263720	306
3C-like_protease__NP_828863__SARS_coronavirus_Tor2__227984	306
3C-like_protease__YP_009944370__SARS_coronavirus_Tor2__227984	306
3C-like_proteinase__YP_009555250__Human_coronavirus_OC43__31631	303
3C-like_proteinase__YP_009725301__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	306
3C-like_proteinase__YP_009742612__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	306
3C-like_proteinase__YP_009924323__Human_coronavirus_OC43__31631	303
3C-like_serine_proteinase__NP_751903__Human_astrovirus__1868658	245
3C__NP_740443__Aichi_virus_1__1313215	190
3C__NP_859027__Aichivirus_B__194965	192
3C__YP_002956086__Cosavirus_E__2003651	203
