protid	pdb_origin	pdb_confidence	pdb_chains
P40121	AlphaFold	86.70528739867355	['A']
P00505	AlphaFold	94.75136023916292	['A']
Q99640	AlphaFold	75.59028103044497	['A']
Q14202	AlphaFold	63.33295563267986	['A']
P28289	AlphaFold	84.7980252986648	['A']
Q9NZC4	AlphaFold	69.59507930052867	['A']
Q9P2F5	AlphaFold	49.78823333333334	['A']
O15078	AlphaFold	62.260129723355114	['A']
O75954	AlphaFold	89.47379347244517	['A']
Q9Y2D1	AlphaFold	69.47465525219805	['A']
Q9BUK0	AlphaFold	84.6355965909091	['A']
Q86UU0	AlphaFold	42.799877815263976	['A']
Q8NFJ8	AlphaFold	59.56662031672461	['A']
P62380	AlphaFold	95.3142029972752	['A']
P10070	AlphaFold	42.80897910650586	['A']
O60381	AlphaFold	62.00240287057659	['A']
Q05469	AlphaFold	64.50800024402149	['A']
P16401	AlphaFold	64.5559609325772	['A']
P50454	AlphaFold	91.74114241960184	['A']
O95678	AlphaFold	70.15151087736075	['A']
Q96BN2	AlphaFold	77.90276280834915	['A']
P50440	AlphaFold	90.08454145912688	['A']
O00461	AlphaFold	67.8424474917549	['A']
P16415	AlphaFold	73.03439024390245	['A']
A2NJV5	AlphaFold	90.69455930359086	['A']
Q9Y2E5	AlphaFold	91.35671712158809	['A']
Q96PS1	AlphaFold	61.37926708949964	['A']
Q9P2G1	AlphaFold	67.02112710674157	['A']
O75940	AlphaFold	77.5322542735043	['A']
A8MX34	AlphaFold	49.010960898502496	['A']
Q8N139	AlphaFold	77.09166859434035	['A']
Q7L4I2	AlphaFold	55.93712591756071	['A']
Q7Z6J8	AlphaFold	79.35667976424361	['A']
Q16401	AlphaFold	93.97609873417721	['A']
Q9H0F6	AlphaFold	75.6779537366548	['A']
Q6UWF7	AlphaFold	90.58268782827129	['A']
Q9P2E9	AlphaFold	68.86281223687902	['A']
Q92729	AlphaFold	82.18422747156605	['A']
Q8N111	AlphaFold	60.107756653992396	['A']
Q8NCW6	AlphaFold	85.27736245621266	['A']
Q9H773	AlphaFold	85.4051443768997	['A']
P25791	AlphaFold	90.8235160532498	['A']
Q9Y226	AlphaFold	84.87359608208956	['A']
Q15120	AlphaFold	91.45947797223899	['A']
P0C221	AlphaFold	76.15304122927125	['A']
Q14558	AlphaFold	89.19151394422312	['A']
P08603	AlphaFold	79.11214594039055	['A']
Q13237	AlphaFold	83.43457676685621	['A']
Q9NZ53	AlphaFold	55.94025175131349	['A']
P21291	AlphaFold	72.3775348189415	['A']
O95644	AlphaFold	57.53372615039282	['A']
Q15646	AlphaFold	92.28699688920794	['A']
Q9H015	AlphaFold	85.5371164805106	['A']
P12883	AlphaFold	73.74884217252395	['A']
Q9BWP8	AlphaFold	80.21396904643036	['A']
Q8NFI4	AlphaFold	81.23394473229708	['A']
Q9P202	AlphaFold	59.393404443136674	['A']
P43366	AlphaFold	74.77924899744804	['A']
Q9Y2F9	AlphaFold	83.02798051157126	['A']
Q8NDP4	AlphaFold	69.82215437225209	['A']
Q86UW8	AlphaFold	81.65785785123967	['A']
O43570	AlphaFold	88.39334770114944	['A']
