structure_file	viro3d_filename	structure_species	target_gene	target_uniprot	experimental_doc	mimic_type
EF-AAM13481.1_12007_relaxed.pdb	EF-AAM13481.1_12007_relaxed	cowpox	C4BP	P04003		single_mimic
EF-AAO89304.1_12013_relaxed.pdb	EF-AAO89304.1_12013_relaxed	vaccinia	C4BP	P04003	https://doi.org/10.1073/pnas.89.2.628	single_mimic
EF-CAA48953.1_12014_relaxed.pdb	EF-CAA48953.1_12014_relaxed	variola	C4BP	P04003		single_mimic
CF-AAO89313.1_12013_relaxed_vaccinia.pdb	CF-AAO89313.1_12013_relaxed	vaccinia	EIF2A	P05198	https://doi.org/10.1128/jvi.66.4.1943-1950.1992	single_mimic
CF-AAR07371.1_12029_relaxed_yaba.pdb	CF-AAR07371.1_12029_relaxed	yaba	EIF2A	P05198		single_mimic
CF-AXN74850.1_12005_relaxed_akhmeta.pdb	CF-AXN74850.1_12005_relaxed	akhmeta	EIF2A	P05198		single_mimic
EF-AAR31656.1_100_relaxed.pdb	EF-AAR31656.1_100_relaxed	hhv5	IL10	P22301		single_mimic
CF-AEV80459.1_99_relaxed_GMCMV.pdb	CF-AEV80459.1_99_relaxed	gmcmv	IL10	P22301		single_mimic
CF-CAD53385.1_127_relaxed_ebv.pdb	CF-CAD53385.1_127_relaxed	ebv	IL10	P22301	https://doi.org/10.1006/jmbi.1997.0990;https://doi.org/10.1016/j.str.2005.01.016	single_mimic
CF-AAC55181.1_12002_relaxed_mcon.pdb	CF-AAC55181.1_12002_relaxed	molluscum_contagiosum	IL18BP	O95998	https://doi.org/10.1073/pnas.96.20.11537	single_mimic
CF-AAR07373.1_12029_relaxed_yaba.pdb	CF-AAR07373.1_12029_relaxed	yaba	IL18BP	O95998		single_mimic
CF-CAA48946.1_12014_relaxed_variola.pdb	CF-CAA48946.1_12014_relaxed	variola	IL18BP	O95998		single_mimic
AF-F6RNZ2-c4bpMmul.pdb	AF-F6RNZ2-c4bpMmul	macaque	C4BP	P04003		single_mimic
AF-H2Q114-c4bpPtro.pdb	AF-H2Q114-c4bpPtro	chimp	C4BP	P04003		single_mimic
AF-P04003-c4bpHsap.pdb	AF-P04003-c4bpHsap	human	C4BP	P04003		single_mimic
AF-P08607-c4bpMmus.pdb	AF-P08607-c4bpMmus	mouse	C4BP	P04003		single_mimic
AF-F7EFD7-eif2sMmul.pdb	AF-F7EFD7-eif2sMmul	macaque	EIF2A	P05198		single_mimic
AF-H2Q8H4-eif2sPtro.pdb	AF-H2Q8H4-eif2sPtro	chimp	EIF2A	P05198		single_mimic
AF-P05198-eif2sHsap.pdb	AF-P05198-eif2sHsap	human	EIF2A	P05198		single_mimic
AF-Q6ZWX6-eif2sMmus.pdb	AF-Q6ZWX6-eif2sMmus	mouse	EIF2A	P05198		single_mimic
AF-H2Q105-il10Ptro.pdb	AF-H2Q105-il10Ptro	chimp	IL10	P22301		single_mimic
AF-P18893-il10Mmus.pdb	AF-P18893-il10Mmus	mouse	IL10	P22301		single_mimic
AF-P22301-il10Hsap.pdb	AF-P22301-il10Hsap	human	IL10	P22301		single_mimic
AF-P51496-il10Mmul.pdb	AF-P51496-il10Mmul	macaque	IL10	P22301		single_mimic
AF-A0A6D2WYC5-il18bpPtro.pdb	AF-A0A6D2WYC5-il18bpPtro	chimp	IL18BP	O95998		single_mimic
AF-B2D0A1-il18bpMmul.pdb	AF-B2D0A1-il18bpMmul	macaque	IL18BP	O95998		single_mimic
AF-O95998-il18bpHsap.pdb	AF-O95998-il18bpHsap	human	IL18BP	O95998		single_mimic
