Virus Name	Record ID	ESMFold pLDDT	ColabFold pLDDT	Chosen Method	structure_file	protlen	Genome_composition	Kingdom	Phylum	Class	Order	Family	Genus	Species	Virus_names
Barmah_Forest_virus	AAB40702.1_6738	44.9	73.8	ColabFold	Barmah_Forest_virus_CF-AAB40702.1_6738_relaxed.pdb	1239	ssRNA(+)	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Barmah Forest virus	
Barmah_Forest_virus	AAB40701.1_6738	41.8	70.4	ColabFold	Barmah_Forest_virus_CF-AAB40701.1_6738_relaxed.pdb	1794	ssRNA(+)	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Barmah Forest virus	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.9_10862	60.5	69.8	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.9_10862_relaxed.pdb	30	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.8_10862	44.1	73.2	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.8_10862_relaxed.pdb	94	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.1.4_10862	83.9	94.1	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.1.4_10862_relaxed.pdb	103	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.5_10862	66.5	79.4	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.5_10862_relaxed.pdb	134	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.1.1_10862	75.2	92.4	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.1.1_10862_relaxed.pdb	138	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.1.5_10862	67.9	92.2	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.1.5_10862_relaxed.pdb	149	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.6_10862	41.7	60.8	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.6_10862_relaxed.pdb	165	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.1.2_10862	81.0	93.0	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.1.2_10862_relaxed.pdb	172	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.1.3_10862	71.8	87.7	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.1.3_10862_relaxed.pdb	186	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.1_10862	31.5	50.5	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.1_10862_relaxed.pdb	187	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.10_10862	75.3	93.8	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.10_10862_relaxed.pdb	192	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.3_10862	74.4	86.1	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.3_10862_relaxed.pdb	223	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.4_10862	63.1	77.3	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.4_10862_relaxed.pdb	267	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.7_10862	75.1	90.2	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.7_10862_relaxed.pdb	335	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.2_10862	52.9	68.4	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.2_10862_relaxed.pdb	367	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.1.6_10862	87.2	95.5	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.1.6_10862_relaxed.pdb	459	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
aichivirus_B1;_bovine_kobuvirus	BAC23066.1.11_10862	86.7	95.6	ColabFold	aichivirus_B1;_bovine_kobuvirus_CF-BAC23066.1.11_10862_relaxed.pdb	469	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus B	
human_papillomavirus_18	CAA28669.1_4546	58.0	69.7	ColabFold	human_papillomavirus_18_CF-CAA28669.1_4546_relaxed.pdb	73	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	
human_papillomavirus_18	CAA28668.1_4546	39.7	68.6	ColabFold	human_papillomavirus_18_CF-CAA28668.1_4546_relaxed.pdb	88	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	
human_papillomavirus_18	ANG08958.1_4728	55.2	78.8	ColabFold	human_papillomavirus_18_CF-ANG08958.1_4728_relaxed.pdb	96	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 26	
human_papillomavirus_18	CDI44918.1_4727	60.1	80.0	ColabFold	human_papillomavirus_18_CF-CDI44918.1_4727_relaxed.pdb	97	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 25	
human_papillomavirus_18	AGC93436.1_4691	56.7	79.2	ColabFold	human_papillomavirus_18_CF-AGC93436.1_4691_relaxed.pdb	98	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 10	
human_papillomavirus_18	CAA28665.1_4546	46.8	78.6	ColabFold	human_papillomavirus_18_CF-CAA28665.1_4546_relaxed.pdb	105	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	
human_papillomavirus_18	AGC93439.1_4691	50.9	69.4	ColabFold	human_papillomavirus_18_CF-AGC93439.1_4691_relaxed.pdb	125	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 10	
human_papillomavirus_18	ANG08957.1_4728	85.9	96.1	ColabFold	human_papillomavirus_18_CF-ANG08957.1_4728_relaxed.pdb	139	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 26	
human_papillomavirus_18	AGC93435.1_4691	80.4	94.3	ColabFold	human_papillomavirus_18_CF-AGC93435.1_4691_relaxed.pdb	143	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 10	
human_papillomavirus_18	CDI44917.1_4727	82.9	92.5	ColabFold	human_papillomavirus_18_CF-CDI44917.1_4727_relaxed.pdb	143	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 25	
human_papillomavirus_18	CAA28664.1_4546	84.9	95.8	ColabFold	human_papillomavirus_18_CF-CAA28664.1_4546_relaxed.pdb	158	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	
human_papillomavirus_18	CAA28667.1_4546	80.9	80.7	ESMFold	human_papillomavirus_18_EF-CAA28667.1_4546_relaxed.pdb	365	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	
human_papillomavirus_18	AGC93438.1_4691	75.2	77.7	ColabFold	human_papillomavirus_18_CF-AGC93438.1_4691_relaxed.pdb	390	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 10	
human_papillomavirus_18	ANG08960.1_4728	77.4	77.7	ColabFold	human_papillomavirus_18_CF-ANG08960.1_4728_relaxed.pdb	394	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 26	
human_papillomavirus_18	CDI44920.1_4727	78.4	76.0	ESMFold	human_papillomavirus_18_EF-CDI44920.1_4727_relaxed.pdb	405	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 25	
human_papillomavirus_18	CAA28670.1_4546	31.1	59.9	ColabFold	human_papillomavirus_18_CF-CAA28670.1_4546_relaxed.pdb	462	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	
human_papillomavirus_18	ANG08962.1_4728	26.5	84.0	ColabFold	human_papillomavirus_18_CF-ANG08962.1_4728_relaxed.pdb	514	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 26	
human_papillomavirus_18	AGC93441.1_4691	26.2	84.3	ColabFold	human_papillomavirus_18_CF-AGC93441.1_4691_relaxed.pdb	519	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 10	
human_papillomavirus_18	CDI44922.1_4727	26.2	84.6	ColabFold	human_papillomavirus_18_CF-CDI44922.1_4727_relaxed.pdb	521	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 25	
human_papillomavirus_18	CDI44921.1_4727	37.6	61.6	ColabFold	human_papillomavirus_18_CF-CDI44921.1_4727_relaxed.pdb	524	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 25	
human_papillomavirus_18	AGC93440.1_4691	36.8	61.8	ColabFold	human_papillomavirus_18_CF-AGC93440.1_4691_relaxed.pdb	524	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 10	
human_papillomavirus_18	ANG08961.1_4728	32.6	61.8	ColabFold	human_papillomavirus_18_CF-ANG08961.1_4728_relaxed.pdb	527	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 26	
human_papillomavirus_18	CAA28671.1_4546	24.4	79.7	ColabFold	human_papillomavirus_18_CF-CAA28671.1_4546_relaxed.pdb	568	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	
human_papillomavirus_18	ANG08959.1_4728	79.4	78.3	ESMFold	human_papillomavirus_18_EF-ANG08959.1_4728_relaxed.pdb	603	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 26	
human_papillomavirus_18	CDI44919.1_4727	78.4	76.5	ESMFold	human_papillomavirus_18_EF-CDI44919.1_4727_relaxed.pdb	603	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 25	
human_papillomavirus_18	AGC93437.1_4691	80.0	76.2	ESMFold	human_papillomavirus_18_EF-AGC93437.1_4691_relaxed.pdb	609	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 10	
human_papillomavirus_18	CAA28666.1_4546	75.8	74.4	ESMFold	human_papillomavirus_18_EF-CAA28666.1_4546_relaxed.pdb	657	dsDNA	Shotokuvirae	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	
torque_teno_midi_virus_6	BAF76080.1_12622	39.0	79.5	ColabFold	torque_teno_midi_virus_6_CF-BAF76080.1_12622_relaxed.pdb	125	ssDNA(-)					Anelloviridae	Gammatorquevirus	Gammatorquevirus homidi6	
torque_teno_midi_virus_6	BAF76078.1_12622	41.2	71.9	ColabFold	torque_teno_midi_virus_6_CF-BAF76078.1_12622_relaxed.pdb	265	ssDNA(-)					Anelloviridae	Gammatorquevirus	Gammatorquevirus homidi6	
torque_teno_midi_virus_6	BAF76079.1_12622	50.0	64.1	ColabFold	torque_teno_midi_virus_6_CF-BAF76079.1_12622_relaxed.pdb	266	ssDNA(-)					Anelloviridae	Gammatorquevirus	Gammatorquevirus homidi6	
torque_teno_midi_virus_6	BAF76081.1_12622	52.8	83.3	ColabFold	torque_teno_midi_virus_6_CF-BAF76081.1_12622_relaxed.pdb	666	ssDNA(-)					Anelloviridae	Gammatorquevirus	Gammatorquevirus homidi6	
human_coronavirus_HKU1	AAT98578.1.1.13_10182	79.7	91.7	ColabFold	human_coronavirus_HKU1_CF-AAT98578.1.1.13_10182_relaxed.pdb	22	ssRNA(+)	Orthornavirae	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	
