protid	pdb_origin	pdb_confidence	pdb_chains
P50440	AlphaFold	90.08454145912688	['A']
Q7L4I2	AlphaFold	55.93712591756071	['A']
A0A1B0GTW7	AlphaFold	73.54947947947949	['A']
Q8N6C8	AlphaFold	87.27538438528268	['A']
Q9UJ83	AlphaFold	95.28409070598748	['A']
Q9GZL7	AlphaFold	89.59865155131264	['A']
Q96LM1	AlphaFold	35.75930323846908	['A']
Q15691	AlphaFold	81.81938920454546	['A']
Q16617	AlphaFold	86.50264847512038	['A']
Q9BY31	AlphaFold	63.03703156753827	['A']
Q8N4M1	AlphaFold	80.24030023094687	['A']
P23109	AlphaFold	83.62960957178842	['A']
Q2TB90	AlphaFold	93.44838354253834	['A']
Q2VIR3	AlphaFold	84.96415251878652	['A']
Q5BJE1	AlphaFold	75.92343344042465	['A']
P08575	AlphaFold	76.84572612508431	['A']
Q8N9P6	AlphaFold	33.33173436492586	['A']
Q5BJD5	AlphaFold	83.73353043478261	['A']
Q86XP1	AlphaFold	71.47443035299092	['A']
Q6ZNC4	AlphaFold	58.66378267716536	['A']
P17482	AlphaFold	64.152891809909	['A']
O00267	AlphaFold	69.24790858888498	['A']
O15130	AlphaFold	64.68429874572405	['A']
Q6UXB0	AlphaFold	52.82861010830325	['A']
Q96T17	AlphaFold	63.91972304476572	['A']
Q96S65	AlphaFold	59.512399819900935	['A']
P36897	AlphaFold	85.12333163135051	['A']
Q7L5A8	AlphaFold	86.43339703459637	['A']
Q9H160	AlphaFold	75.21917832167831	['A']
Q8NGN1	AlphaFold	74.87965989053949	['A']
O14561	AlphaFold	78.74762725779966	['A']
Q8TC92	AlphaFold	75.46974892954456	['A']
O75821	AlphaFold	70.12066746602719	['A']
P17483	AlphaFold	68.07404933196298	['A']
P0DMR3	AlphaFold	42.278779106356204	['A']
Q53R12	AlphaFold	73.6071794871795	['A']
Q9NY30	AlphaFold	78.82235487404162	['A']
Q6ICG8	AlphaFold	64.10420444444445	['A']
Q9H1X1	AlphaFold	91.69181859410432	['A']
A6NGH7	AlphaFold	72.25125093075204	['A']
O95484	AlphaFold	81.18085732165207	['A']
Q8N3J2	AlphaFold	77.83597583399002	['A']
A0A075B6J9	AlphaFold	86.09895642201835	['A']
V9GZ13	AlphaFold	78.63880487804877	['A']
Q9Y5Z0	AlphaFold	83.62365379762805	['A']
Q96NT0	AlphaFold	83.64212796549243	['A']
A6NK06	AlphaFold	95.3751630288332	['A']
Q9H7L2	AlphaFold	73.27140814081409	['A']
Q9HBY8	AlphaFold	87.94638927097661	['A']
Q9H0J4	AlphaFold	44.675474877933524	['A']
Q8NA57	AlphaFold	53.14825563909775	['A']
P13236	AlphaFold	88.97641853932585	['A']
P47883	AlphaFold	72.32067790118728	['A']
Q9Y5B6	AlphaFold	72.49599375932709	['A']
A0A075B6P5	AlphaFold	90.94290429042906	['A']
Q9HBW1	AlphaFold	77.68728962818005	['A']
P01817	AlphaFold	91.71650862068967	['A']
Q8TBF8	AlphaFold	82.2775362807965	['A']
O75764	AlphaFold	75.79621820862515	['A']
Q6QNY0	AlphaFold	70.93916275954454	['A']
Q05481	AlphaFold	70.90545170691091	['A']
O95479	AlphaFold	90.99453879241676	['A']
Q7L804	AlphaFold	61.957684981684984	['A']
Q14995	AlphaFold	65.07062499999999	['A']
Q4JDL3	AlphaFold	78.37529204578809	['A']
Q01432	AlphaFold	85.54297491612078	['A']
P26927	AlphaFold	83.6202913483745	['A']
P29590	AlphaFold	70.87157502193624	['A']
Q16774	AlphaFold	94.46206286836936	['A']
Q8N9S9	AlphaFold	84.65137408861469	['A']
A6NHL2	AlphaFold	91.20467769537935	['A']
Q3MIN7	AlphaFold	73.33113070350845	['A']
P55103	AlphaFold	78.9116523685192	['A']
Q8TCV5	AlphaFold	67.91623445825932	['A']
Q5VYJ5	AlphaFold	71.8490850446825	['A']
Q9H3M0	AlphaFold	80.67156546246477	['A']
Q5VW32	AlphaFold	92.23212389380531	['A']
Q9H6R6	AlphaFold	86.68335722819594	['A']
Q8WXS4	AlphaFold	86.91000679347827	['A']
Q8NBR9	AlphaFold	29.329938900203665	['A']
Q9UPP1	AlphaFold	62.67945417220142	['A']
O43361	AlphaFold	59.2551229120706	['A']
O95727	AlphaFold	72.87522473700989	['A']
O00258	AlphaFold	78.09970503597123	['A']
Q9H3T2	AlphaFold	72.28490746013668	['A']
O75638	AlphaFold	47.841502029769956	['A']
Q7Z7B0	AlphaFold	67.79924581005585	['A']
P31644	AlphaFold	82.26977644492912	['A']
Q12923	AlphaFold	60.21156319119387	['A']
Q96SB8	AlphaFold	80.75614272809393	['A']
Q96C24	AlphaFold	68.54367572633552	['A']
Q92688	AlphaFold	79.00411210317459	['A']
Q86VD9	AlphaFold	87.6567304696194	['A']
Q8TD20	AlphaFold	74.59714893617021	['A']
P17655	AlphaFold	89.45068476139791	['A']
Q2VWA4	AlphaFold	53.59216764185603	['A']
Q66LE6	AlphaFold	91.80993171264683	['A']
Q6UXY8	AlphaFold	63.857436150524364	['A']
A6NF83	AlphaFold	73.12224030037547	['A']
Q9UBX2	AlphaFold	64.0294302801385	['A']
Q9NP99	AlphaFold	71.42913254310345	['A']
Q8NEN0	AlphaFold	75.17821097543035	['A']
O96005	AlphaFold	70.5843413729128	['A']
P46977	AlphaFold	88.29432670304524	['A']
Q14957	AlphaFold	67.97242968915204	['A']
P28062	AlphaFold	84.37780131826743	['A']
Q8ND30	AlphaFold	70.74187608318891	['A']
A0A0J9YXQ4	AlphaFold	55.05208378791185	['A']
Q99497	AlphaFold	98.41917385057472	['A']
Q8TE54	AlphaFold	80.19896939782824	['A']
Q9BPY3	AlphaFold	85.35403887688986	['A']
P22003	AlphaFold	75.12919868276619	['A']
P35580	AlphaFold	75.48981210726062	['A']
O60383	AlphaFold	66.51933443800056	['A']
Q6PF05	AlphaFold	83.84532775453276	['A']
P25963	AlphaFold	82.58329731892758	['A']
P48553	AlphaFold	78.98542708541707	['A']
Q9H013	AlphaFold	70.06402427383063	['A']
P04003	AlphaFold	81.68877633539051	['A']
Q9NS28	AlphaFold	73.30515946502058	['A']
