protid	pdb_origin	pdb_confidence	pdb_chains
O00267	AlphaFold	69.24790858888498	['A']
Q53R12	AlphaFold	73.6071794871795	['A']
Q9H0J4	AlphaFold	44.675474877933524	['A']
P47883	AlphaFold	72.32067790118728	['A']
Q9Y5B6	AlphaFold	72.49599375932709	['A']
Q9HBW1	AlphaFold	77.68728962818005	['A']
Q14995	AlphaFold	65.07062499999999	['A']
P55103	AlphaFold	78.9116523685192	['A']
Q9H3T2	AlphaFold	72.28490746013668	['A']
Q96C24	AlphaFold	68.54367572633552	['A']
Q86VD9	AlphaFold	87.6567304696194	['A']
Q9NP99	AlphaFold	71.42913254310345	['A']
P25963	AlphaFold	82.58329731892758	['A']
Q4V326	AlphaFold	63.91385514018691	['A']
Q96LY2	AlphaFold	60.46644875723527	['A']
Q8N8Z3	AlphaFold	44.66533021624781	['A']
Q6FI81	AlphaFold	79.87695059625213	['A']
P57088	AlphaFold	89.61035532994923	['A']
Q6UX41	AlphaFold	86.59416895776056	['A']
Q8NGA8	AlphaFold	90.18273557492735	['A']
F8WBI6	AlphaFold	71.1963120143455	['A']
Q8IXA5	AlphaFold	82.41173886516168	['A']
Q6ZS52	AlphaFold	52.387267536704734	['A']
P34896	AlphaFold	96.60637995712753	['A']
Q92506	AlphaFold	93.42733969263382	['A']
A2RU37	AlphaFold	44.0204157782516	['A']
P15509	AlphaFold	82.07854377880186	['A']
Q6ZUV0	AlphaFold	90.80060975609756	['A']
Q16570	AlphaFold	77.70074650698602	['A']
Q9H171	AlphaFold	55.84275576036866	['A']
P50120	AlphaFold	96.45409420289856	['A']
P29144	AlphaFold	92.05051339973302	['A']
Q8NDY8	AlphaFold	59.277903225806455	['A']
Q8IZF7	AlphaFold	72.71556943690024	['A']
Q16270	AlphaFold	85.03641518737673	['A']
O43301	AlphaFold	84.3599640899641	['A']
Q8N9N2	AlphaFold	66.26168806764797	['A']
P37108	AlphaFold	77.28218627450981	['A']
O95750	AlphaFold	79.54819798458803	['A']
Q9H841	AlphaFold	79.54660846205506	['A']
Q8N7A1	AlphaFold	93.3481961737018	['A']
Q7Z4B0	AlphaFold	62.436700913242014	['A']
Q13242	AlphaFold	70.31683102493075	['A']
A6NKC9	AlphaFold	56.11134434634007	['A']
O95231	AlphaFold	63.81415416451113	['A']
Q9BZD4	AlphaFold	89.42832808398951	['A']
Q14919	AlphaFold	74.15030651340996	['A']
P13284	AlphaFold	83.51742842535789	['A']
Q99618	AlphaFold	59.24924019607843	['A']
P61758	AlphaFold	87.19843335439039	['A']
P01275	AlphaFold	69.38737449118045	['A']
P57796	AlphaFold	66.10069353327086	['A']
Q2NKX9	AlphaFold	77.16107738998483	['A']
Q9P255	AlphaFold	73.5586064998831	['A']
Q5JVL4	AlphaFold	84.06844342331993	['A']
Q8NH57	AlphaFold	86.82841632653061	['A']
Q8IX21	AlphaFold	55.79973996547259	['A']
P35908	AlphaFold	66.73293414475114	['A']
Q9UGN5	AlphaFold	82.72345391903531	['A']
Q9H8Y1	AlphaFold	70.8945063520871	['A']
Q3ZCT1	AlphaFold	82.36141775219632	['A']
Q9Y4X4	AlphaFold	50.836550500161344	['A']
Q8IUC8	AlphaFold	91.9794300979519	['A']
P07359	AlphaFold	64.26757431629014	['A']
O75443	AlphaFold	77.34554886411067	['A']
Q902F9	AlphaFold	68.68399028077754	['A']
Q53HI1	AlphaFold	88.67814729041223	['A']
Q96L33	AlphaFold	85.68689636462291	['A']
Q8NCX0	AlphaFold	74.49174661336886	['A']
P31276	AlphaFold	58.415118236472935	['A']
Q9UBC3	AlphaFold	73.57542614904061	['A']
Q8TC71	AlphaFold	75.19526377217554	['A']
P35414	AlphaFold	82.57801801801801	['A']
Q9BT40	AlphaFold	88.28987798114254	['A']
Q11206	AlphaFold	88.96313315926893	['A']
P51959	AlphaFold	87.41162829635832	['A']
Q9BU20	AlphaFold	90.76223880597014	['A']
P03951	AlphaFold	86.15252492370296	['A']
A6NKD2	AlphaFold	75.64049067315491	['A']
Q9P2K8	AlphaFold	74.48081565944508	['A']
A0PK00	AlphaFold	90.421148981026	['A']
Q8TDF6	AlphaFold	77.20823093018832	['A']
Q96ME1	AlphaFold	73.91085663487958	['A']
O75368	AlphaFold	95.3009866962306	['A']
Q5BIV9	AlphaFold	54.65780821917808	['A']
O43745	AlphaFold	87.99921469284358	['A']
A4FU69	AlphaFold	67.80862917110765	['A']
Q12888	AlphaFold	44.72761198021126	['A']
Q9Y5B8	AlphaFold	93.18917560321715	['A']
Q8N0Z3	AlphaFold	57.64665483059624	['A']
Q8N0V1	AlphaFold	43.702433206106875	['A']
Q9NPC1	AlphaFold	81.76891710231516	['A']
P85298	AlphaFold	76.21322316234797	['A']
Q9UFV3	AlphaFold	42.410095510983766	['A']
Q96H55	AlphaFold	76.54711566045118	['A']
P60411	AlphaFold	37.747377535873326	['A']
O14579	AlphaFold	89.91614527445316	['A']
P46777	AlphaFold	94.44820703933746	['A']
