protid	pdb_origin	pdb_confidence	pdb_chains
P50440	AlphaFold	90.08454145912688	['A']
A0A1B0GTW7	AlphaFold	73.54947947947949	['A']
Q15691	AlphaFold	81.81938920454546	['A']
Q8N4M1	AlphaFold	80.24030023094687	['A']
P23109	AlphaFold	83.62960957178842	['A']
Q2TB90	AlphaFold	93.44838354253834	['A']
Q2VIR3	AlphaFold	84.96415251878652	['A']
P08575	AlphaFold	76.84572612508431	['A']
Q8N9P6	AlphaFold	33.33173436492586	['A']
P17482	AlphaFold	64.152891809909	['A']
O00267	AlphaFold	69.24790858888498	['A']
O15130	AlphaFold	64.68429874572405	['A']
Q6UXB0	AlphaFold	52.82861010830325	['A']
P36897	AlphaFold	85.12333163135051	['A']
Q7L5A8	AlphaFold	86.43339703459637	['A']
Q8TC92	AlphaFold	75.46974892954456	['A']
P17483	AlphaFold	68.07404933196298	['A']
Q53R12	AlphaFold	73.6071794871795	['A']
Q9NY30	AlphaFold	78.82235487404162	['A']
Q9H1X1	AlphaFold	91.69181859410432	['A']
A6NGH7	AlphaFold	72.25125093075204	['A']
O95484	AlphaFold	81.18085732165207	['A']
V9GZ13	AlphaFold	78.63880487804877	['A']
Q9Y5Z0	AlphaFold	83.62365379762805	['A']
Q96NT0	AlphaFold	83.64212796549243	['A']
A6NK06	AlphaFold	95.3751630288332	['A']
Q9H0J4	AlphaFold	44.675474877933524	['A']
Q8NA57	AlphaFold	53.14825563909775	['A']
P47883	AlphaFold	72.32067790118728	['A']
Q9Y5B6	AlphaFold	72.49599375932709	['A']
A0A075B6P5	AlphaFold	90.94290429042906	['A']
Q9HBW1	AlphaFold	77.68728962818005	['A']
Q8TBF8	AlphaFold	82.2775362807965	['A']
Q05481	AlphaFold	70.90545170691091	['A']
O95479	AlphaFold	90.99453879241676	['A']
Q14995	AlphaFold	65.07062499999999	['A']
Q4JDL3	AlphaFold	78.37529204578809	['A']
P29590	AlphaFold	70.87157502193624	['A']
Q8N9S9	AlphaFold	84.65137408861469	['A']
A6NHL2	AlphaFold	91.20467769537935	['A']
Q3MIN7	AlphaFold	73.33113070350845	['A']
P55103	AlphaFold	78.9116523685192	['A']
Q8TCV5	AlphaFold	67.91623445825932	['A']
Q5VW32	AlphaFold	92.23212389380531	['A']
Q9H6R6	AlphaFold	86.68335722819594	['A']
O43361	AlphaFold	59.2551229120706	['A']
O00258	AlphaFold	78.09970503597123	['A']
Q9H3T2	AlphaFold	72.28490746013668	['A']
Q12923	AlphaFold	60.21156319119387	['A']
Q96C24	AlphaFold	68.54367572633552	['A']
Q86VD9	AlphaFold	87.6567304696194	['A']
P17655	AlphaFold	89.45068476139791	['A']
Q66LE6	AlphaFold	91.80993171264683	['A']
Q6UXY8	AlphaFold	63.857436150524364	['A']
Q9UBX2	AlphaFold	64.0294302801385	['A']
Q9NP99	AlphaFold	71.42913254310345	['A']
Q8NEN0	AlphaFold	75.17821097543035	['A']
O96005	AlphaFold	70.5843413729128	['A']
P28062	AlphaFold	84.37780131826743	['A']
Q8ND30	AlphaFold	70.74187608318891	['A']
A0A0J9YXQ4	AlphaFold	55.05208378791185	['A']
Q99497	AlphaFold	98.41917385057472	['A']
P22003	AlphaFold	75.12919868276619	['A']
O60383	AlphaFold	66.51933443800056	['A']
P25963	AlphaFold	82.58329731892758	['A']
P48553	AlphaFold	78.98542708541707	['A']
Q4V326	AlphaFold	63.91385514018691	['A']
Q96LY2	AlphaFold	60.46644875723527	['A']
Q496Y0	AlphaFold	75.44066689234936	['A']
Q8N8Z3	AlphaFold	44.66533021624781	['A']
Q9H2H9	AlphaFold	79.8497130823901	['A']
Q07654	AlphaFold	80.138	['A']
Q6FI81	AlphaFold	79.87695059625213	['A']
Q9HCE1	AlphaFold	82.5631374750499	['A']
Q9HC36	AlphaFold	74.20625264430342	['A']
P57088	AlphaFold	89.61035532994923	['A']
Q6UX41	AlphaFold	86.59416895776056	['A']
Q8NGA8	AlphaFold	90.18273557492735	['A']
Q7L5N1	AlphaFold	86.49241623965314	['A']
Q9UNZ2	AlphaFold	74.64766433566435	['A']
Q6P2C0	AlphaFold	76.99176978153113	['A']
Q96JT2	AlphaFold	77.60240882917465	['A']
Q2TAP0	AlphaFold	79.89424124513619	['A']
P08572	AlphaFold	48.39240924092409	['A']
K7EIQ3	AlphaFold	54.018783783783796	['A']
Q5VV42	AlphaFold	83.60795846994536	['A']
Q6NUM9	AlphaFold	95.2171556122449	['A']
O14836	AlphaFold	62.94399819086386	['A']
P02671	AlphaFold	62.220443180116796	['A']
P01344	AlphaFold	59.24031161473087	['A']
P53370	AlphaFold	86.82193561208267	['A']
F8WBI6	AlphaFold	71.1963120143455	['A']
Q96RE9	AlphaFold	67.9001617921593	['A']
Q9NSG2	AlphaFold	86.9694337953406	['A']
Q96KJ4	AlphaFold	75.6913276026743	['A']
Q8IXA5	AlphaFold	82.41173886516168	['A']
Q6ZS52	AlphaFold	52.387267536704734	['A']
Q14549	AlphaFold	60.619246420497355	['A']
P34896	AlphaFold	96.60637995712753	['A']
Q6ZQW0	AlphaFold	91.13904546823247	['A']
P49458	AlphaFold	90.52259206798867	['A']
Q8IXX5	AlphaFold	74.52369471233787	['A']
Q16612	AlphaFold	65.86889087656527	['A']
Q99453	AlphaFold	60.65971197119712	['A']
Q92506	AlphaFold	93.42733969263382	['A']
P0DPF4	AlphaFold	92.9670867052023	['A']
Q9P1A6	AlphaFold	49.38029090909091	['A']
P01568	AlphaFold	85.40666885245902	['A']
A2RU37	AlphaFold	44.0204157782516	['A']
P15509	AlphaFold	82.07854377880186	['A']
Q6ZUV0	AlphaFold	90.80060975609756	['A']
Q16570	AlphaFold	77.70074650698602	['A']
Q71RC9	AlphaFold	77.13369932432433	['A']
Q8N7J2	AlphaFold	52.45024210094378	['A']
Q8NG41	AlphaFold	69.5602937976061	['A']
Q9C0D3	AlphaFold	92.45932416369502	['A']
P07332	AlphaFold	89.69391581826468	['A']
Q15722	AlphaFold	82.53119002644503	['A']
Q9H171	AlphaFold	55.84275576036866	['A']
Q9ULV0	AlphaFold	75.50398428657033	['A']
C9JG80	AlphaFold	44.65380776132795	['A']
P48169	AlphaFold	73.98813453536755	['A']
P28845	AlphaFold	94.21794713656388	['A']
Q9ULZ3	AlphaFold	71.88260840998686	['A']
Q8WWZ3	AlphaFold	73.79700346420323	['A']
Q9NZV1	AlphaFold	67.09770756516211	['A']
Q6ZSV7	AlphaFold	36.31870042194093	['A']
Q16820	AlphaFold	89.84139131987855	['A']
