RefSeq_ID	GenBank_ID	Match_Type
YP_010085602	AXN74939.1	GenBank Name Curated (Extracted Product)
NP_619940	AAM13598.1	GenBank Name Curated (Extracted Product)
NP_957877	AAR98325.1	GenBank Name Curated (Extracted Product)
YP_010377132	No Match Found	No Match
NP_073500	CAC21353.1	GenBank Name Curated (Extracted Product)
NP_042171	No Match Found	No Match
YP_009408523	No Match Found	No Match
NP_044079	No Match Found	No Match
NP_938370	AAR07471.1	Product
YP_233025	AAO89422.1	GenBank Name Curated (Extracted Product)
NP_619933	AAM13591.1	GenBank Name Curated (Extracted Product)
YP_010377126	No Match Found	No Match
NP_042165	No Match Found	No Match
NP_044073	No Match Found	No Match
YP_233019	AAO89416.1	GenBank Name Curated (Extracted Product)
YP_010085595	AXN74932.1	GenBank Name Curated (Extracted Product)
NP_938364	AAR07465.1	Product
NP_073494	CAC21347.1	GenBank Name Curated (Extracted Product)
YP_009408517	No Match Found	No Match
NP_957871	AAR98319.1	GenBank Name Curated (Extracted Product)
NP_073497	CAC21350.1	GenBank Name Curated (Extracted Product)
YP_233022	No Match Found	No Match
NP_044076	No Match Found	No Match
NP_938367	No Match Found	No Match
YP_010377129	No Match Found	No Match
NP_957874	AAR98322.1	GenBank Name Curated (Extracted Product)
YP_009408520	No Match Found	No Match
NP_042168	No Match Found	No Match
NP_619937	AAM13595.1	GenBank Name Curated (Extracted Product)
YP_010085599	AXN74936.1	GenBank Name Curated (Extracted Product)
YP_001129401	ABD28900.1	Product
NP_783793	No Match Found	No Match
YP_081555	AAR31659.1	GenBank Name Curated (Extracted Product)
NP_050261	No Match Found	No Match
YP_073820	No Match Found	No Match
YP_004936074	AEV80462.1	GenBank Name Curated (Extracted Product)
NP_042975	CAA58331.1	GenBank Name Curated (Extracted Product)
YP_089655	No Match Found	No Match
NP_619822	AAM13480.1	Product
NP_938402	No Match Found	No Match
NP_073386	CAC21239.1	GenBank Name Curated (Extracted Product)
NP_042055	No Match Found	No Match
YP_232892	No Match Found	No Match
YP_233091	No Match Found	No Match
YP_010085477	AXN74814.1	GenBank Name Curated (Extracted Product)
NP_042047	No Match Found	No Match
NP_073536	CAC21389.1	GenBank Name Curated (Extracted Product)
YP_009408406	No Match Found	No Match
YP_232906	No Match Found	No Match
YP_010085466	AXN74803.1	GenBank Name Curated (Extracted Product)
YP_010377015	No Match Found	No Match
NP_938263	No Match Found	No Match
NP_619811	AAM13469.1	GenBank Name Curated (Extracted Product)
YP_009246487	ALD84351.1	Product
YP_009227120	BAU21073.1	GenBank Name Curated (Extracted Product)
YP_009304988	AJG39315.1	GenBank Name Curated (Extracted Product)
YP_009361831	AIZ00430.1	Product
NP_957840	AAR98288.1	GenBank Name Curated (Extracted Product)
NP_044039	No Match Found	No Match
NP_938333	AAR07434.1	Product
NP_042134	No Match Found	No Match
NP_619901	AAM13559.1	GenBank Name Curated (Extracted Product)
YP_009408485	No Match Found	No Match
NP_073463	CAC21316.1	GenBank Name Curated (Extracted Product)
YP_232987	No Match Found	No Match
YP_010085562	No Match Found	No Match
YP_010377094	No Match Found	No Match
YP_009507728	AFX73397.1	Product
YP_009507715	AFX73386.1	Product
YP_004936081	AEV80469.1	GenBank Name Curated (Extracted Product)
YP_002608299	No Match Found	No Match
YP_081562	AAR31666.1	GenBank Name Curated (Extracted Product)
NP_619983	AAM13641.1	GenBank Name Curated (Extracted Product)
YP_233072	AAO89469.1	GenBank Name Curated (Extracted Product)
YP_009408563	No Match Found	No Match
YP_010085645	AXN74982.1	GenBank Name Curated (Extracted Product)
YP_010377165	No Match Found	No Match
NP_042221	No Match Found	No Match
NP_077116	No Match Found	No Match
YP_009362306	No Match Found	No Match
NP_041325	No Match Found	No Match
YP_009508892	ANG08957.1	Product
YP_009551930	No Match Found	No Match
YP_009553019	No Match Found	No Match
YP_009508229	CDI44917.1	GenBank Name Curated (Extracted Product)
YP_009345872	No Match Found	No Match
YP_009552548	No Match Found	No Match
YP_003084346	ACT76412.1	GenBank Name Curated (Extracted Product)
YP_009507311	AKG54924.1	GenBank Name Curated (Extracted Product)
YP_009022057	AHN16190.1	GenBank Name Curated (Extracted Product)
YP_006393309	No Match Found	No Match
YP_004169284	ADQ85964.1	Product
YP_003858573	ADE45482.1	Product
YP_008433326	CDG41968.1	GenBank Name Curated (Extracted Product)
YP_004934012	BAL14427.1	GenBank Name Curated (Extracted Product)
YP_003668025	ADH29805.1	GenBank Name Curated (Extracted Product)
