nomburg_cluster_id	nomburg_cluster_representative	nomburg_protein_name	gene_name	ncbi_id	virus	taxon_id	nomburg_cluster_count	superkingdom	phylum	class	order	family	genus	species	structure_filepaths
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	VITF-3_large_subunit__YP_010085602__Akhmeta_virus__2200830	VITF-3_large_subunit	YP_010085602	Akhmeta_virus	;2200830;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Akhmeta_virus	viral_structures/Poxviridae/VITF-3_large_subunit__YP_010085602__Akhmeta_virus__2200830.pdb
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	CPXV156_protein__NP_619940__Cowpox_virus__10243	CPXV156_protein	NP_619940	Cowpox_virus	;10243;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Cowpox_virus	viral_structures/Poxviridae/CPXV156_protein__NP_619940__Cowpox_virus__10243.pdb
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	ORF100_intermediate_transcription_factor_VITF-3__NP_957877__Orf_virus__10258	ORF100_intermediate_transcription_factor_VITF-3	NP_957877	Orf_virus	;10258;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Parapoxvirus	Orf_virus	viral_structures/Poxviridae/ORF100_intermediate_transcription_factor_VITF-3__NP_957877__Orf_virus__10258.pdb
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	Intermediate_transcription_factor_VITF-3_-2-__YP_010377132__Monkeypox_virus__10244	Intermediate_transcription_factor_VITF-3_-2-	YP_010377132	Monkeypox_virus	;10244;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Monkeypox_virus	viral_structures/Poxviridae/Intermediate_transcription_factor_VITF-3_-2-__YP_010377132__Monkeypox_virus__10244.pdb
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	115R_protein__NP_073500__Yaba-like_disease_virus__132475	115R_protein	NP_073500	Yaba-like_disease_virus	;132475;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba-like_disease_virus	viral_structures/Poxviridae/115R_protein__NP_073500__Yaba-like_disease_virus__132475.pdb
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	hypothetical_protein_VARVgp127__NP_042171__Variola_virus__10255	hypothetical_protein_VARVgp127	NP_042171	Variola_virus	;10255;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Variola_virus	viral_structures/Poxviridae/hypothetical_protein_VARVgp127__NP_042171__Variola_virus__10255.pdb
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	VITF-3_45kda_subunit__YP_009408523__NY_014_poxvirus__2025360	VITF-3_45kda_subunit	YP_009408523	NY_014_poxvirus	;2025360;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Centapoxvirus	NY_014_poxvirus	viral_structures/Poxviridae/VITF-3_45kda_subunit__YP_009408523__NY_014_poxvirus__2025360.pdb
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	MC128R__NP_044079__Molluscum_contagiosum_virus_subtype_1__10280	MC128R	NP_044079	Molluscum_contagiosum_virus_subtype_1	;10280;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum_contagiosum_virus_subtype_1	viral_structures/Poxviridae/MC128R__NP_044079__Molluscum_contagiosum_virus_subtype_1__10280.pdb
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	115R__NP_938370__Yaba_monkey_tumor_virus__38804	115R	NP_938370	Yaba_monkey_tumor_virus	;38804;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba_monkey_tumor_virus	viral_structures/Poxviridae/115R__NP_938370__Yaba_monkey_tumor_virus__38804.pdb
260	115R_protein__NP_073500__Yaba-like_disease_virus__132475	45kDa_large_subunit_of_intermediate_gene_transcription_factor_VITF-3__YP_233025__Vaccinia_virus__10245	45kDa_large_subunit_of_intermediate_gene_transcription_factor_VITF-3	YP_233025	Vaccinia_virus	;10245;	35	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia_virus	viral_structures/Poxviridae/45kDa_large_subunit_of_intermediate_gene_transcription_factor_VITF-3__YP_233025__Vaccinia_virus__10245.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	CPXV150_protein__NP_619933__Cowpox_virus__10243	CPXV150_protein	NP_619933	Cowpox_virus	;10243;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Cowpox_virus	viral_structures/Poxviridae/CPXV150_protein__NP_619933__Cowpox_virus__10243.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	IMV_membrane_protein_P21__YP_010377126__Monkeypox_virus__10244	IMV_membrane_protein_P21	YP_010377126	Monkeypox_virus	;10244;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Monkeypox_virus	viral_structures/Poxviridae/IMV_membrane_protein_P21__YP_010377126__Monkeypox_virus__10244.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	hypothetical_protein_VARVgp121__NP_042165__Variola_virus__10255	hypothetical_protein_VARVgp121	NP_042165	Variola_virus	;10255;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Variola_virus	viral_structures/Poxviridae/hypothetical_protein_VARVgp121__NP_042165__Variola_virus__10255.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	MC122L__NP_044073__Molluscum_contagiosum_virus_subtype_1__10280	MC122L	NP_044073	Molluscum_contagiosum_virus_subtype_1	;10280;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum_contagiosum_virus_subtype_1	viral_structures/Poxviridae/MC122L__NP_044073__Molluscum_contagiosum_virus_subtype_1__10280.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	IMV_membrane_protein__YP_233019__Vaccinia_virus__10245	IMV_membrane_protein	YP_233019	Vaccinia_virus	;10245;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia_virus	viral_structures/Poxviridae/IMV_membrane_protein__YP_233019__Vaccinia_virus__10245.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	IMV_membrane_protein	YP_010085595	Akhmeta_virus	;2200830;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Akhmeta_virus	viral_structures/Poxviridae/IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	109L__NP_938364__Yaba_monkey_tumor_virus__38804	109L	NP_938364	Yaba_monkey_tumor_virus	;38804;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba_monkey_tumor_virus	viral_structures/Poxviridae/109L__NP_938364__Yaba_monkey_tumor_virus__38804.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	109L_protein__NP_073494__Yaba-like_disease_virus__132475	109L_protein	NP_073494	Yaba-like_disease_virus	;132475;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba-like_disease_virus	viral_structures/Poxviridae/109L_protein__NP_073494__Yaba-like_disease_virus__132475.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	IMV_membrane_protein__YP_009408517__NY_014_poxvirus__2025360	IMV_membrane_protein	YP_009408517	NY_014_poxvirus	;2025360;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Centapoxvirus	NY_014_poxvirus	viral_structures/Poxviridae/IMV_membrane_protein__YP_009408517__NY_014_poxvirus__2025360.pdb
353	IMV_membrane_protein__YP_010085595__Akhmeta_virus__2200830	ORF094_putative_phosphorylated_IMV_membrane_protein__NP_957871__Orf_virus__10258	ORF094_putative_phosphorylated_IMV_membrane_protein	NP_957871	Orf_virus	;10258;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Parapoxvirus	Orf_virus	viral_structures/Poxviridae/ORF094_putative_phosphorylated_IMV_membrane_protein__NP_957871__Orf_virus__10258.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	112L_protein__NP_073497__Yaba-like_disease_virus__132475	112L_protein	NP_073497	Yaba-like_disease_virus	;132475;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba-like_disease_virus	viral_structures/Poxviridae/112L_protein__NP_073497__Yaba-like_disease_virus__132475.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	Membrane_protein__YP_233022__Vaccinia_virus__10245	Membrane_protein	YP_233022	Vaccinia_virus	;10245;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia_virus	viral_structures/Poxviridae/Membrane_protein__YP_233022__Vaccinia_virus__10245.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	MC125L__NP_044076__Molluscum_contagiosum_virus_subtype_1__10280	MC125L	NP_044076	Molluscum_contagiosum_virus_subtype_1	;10280;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum_contagiosum_virus_subtype_1	viral_structures/Poxviridae/MC125L__NP_044076__Molluscum_contagiosum_virus_subtype_1__10280.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	IMV_membrane_protein__NP_938367__Yaba_monkey_tumor_virus__38804	IMV_membrane_protein	NP_938367	Yaba_monkey_tumor_virus	;38804;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba_monkey_tumor_virus	viral_structures/Poxviridae/IMV_membrane_protein__NP_938367__Yaba_monkey_tumor_virus__38804.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	IMV_membrane_protein_A21__YP_010377129__Monkeypox_virus__10244	IMV_membrane_protein_A21	YP_010377129	Monkeypox_virus	;10244;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Monkeypox_virus	viral_structures/Poxviridae/IMV_membrane_protein_A21__YP_010377129__Monkeypox_virus__10244.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	ORF098_hypothetical_protein__NP_957874__Orf_virus__10258	ORF098_hypothetical_protein	NP_957874	Orf_virus	;10258;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Parapoxvirus	Orf_virus	viral_structures/Poxviridae/ORF098_hypothetical_protein__NP_957874__Orf_virus__10258.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	IMV_membrane_protein_entry_fusion_complex_component__YP_009408520__NY_014_poxvirus__2025360	IMV_membrane_protein_entry_fusion_complex_component	YP_009408520	NY_014_poxvirus	;2025360;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Centapoxvirus	NY_014_poxvirus	viral_structures/Poxviridae/IMV_membrane_protein_entry_fusion_complex_component__YP_009408520__NY_014_poxvirus__2025360.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	IMV_membrane_protein__NP_042168__Variola_virus__10255	IMV_membrane_protein	NP_042168	Variola_virus	;10255;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Variola_virus	viral_structures/Poxviridae/IMV_membrane_protein__NP_042168__Variola_virus__10255.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	CPXV153_protein__NP_619937__Cowpox_virus__10243	CPXV153_protein	NP_619937	Cowpox_virus	;10243;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Cowpox_virus	viral_structures/Poxviridae/CPXV153_protein__NP_619937__Cowpox_virus__10243.pdb
273	A21_Protein__YP_009162494__Salmon_gill_poxvirus__1680908	IMV_membrane_protein__YP_010085599__Akhmeta_virus__2200830	IMV_membrane_protein	YP_010085599	Akhmeta_virus	;2200830;	34	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Akhmeta_virus	viral_structures/Poxviridae/IMV_membrane_protein__YP_010085599__Akhmeta_virus__2200830.pdb
883	ORF50__YP_010084411__Retroperitoneal_fibromatosis-associated_herpesvirus__111469	ORF50__YP_001129401__Human_gammaherpesvirus_8__37296	ORF50	YP_001129401	Human_gammaherpesvirus_8	;37296;	10	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Rhadinovirus	Human_gammaherpesvirus_8	viral_structures/Herpesviridae/ORF50__YP_001129401__Human_gammaherpesvirus_8__37296.pdb
470	E115__YP_007016506__Murid_betaherpesvirus_8__1261657	envelope_glycoprotein_L__NP_783793__Human_herpesvirus_5__10359	envelope_glycoprotein_L	NP_783793	Human_herpesvirus_5	;10359;	21	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Cytomegalovirus	Human_betaherpesvirus_5	viral_structures/Herpesviridae/envelope_glycoprotein_L__NP_783793__Human_herpesvirus_5__10359.pdb
470	E115__YP_007016506__Murid_betaherpesvirus_8__1261657	envelope_glycoprotein_L__YP_081555__Human_betaherpesvirus_5__10359	envelope_glycoprotein_L	YP_081555	Human_betaherpesvirus_5	;10359;	21	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Cytomegalovirus	Human_betaherpesvirus_5	viral_structures/Herpesviridae/envelope_glycoprotein_L__YP_081555__Human_betaherpesvirus_5__10359.pdb
470	E115__YP_007016506__Murid_betaherpesvirus_8__1261657	Glycoprotein_L__NP_050261__Human_betaherpesvirus_6B__32604	Glycoprotein_L	NP_050261	Human_betaherpesvirus_6B	;32604;	21	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human_betaherpesvirus_6B	viral_structures/Herpesviridae/Glycoprotein_L__NP_050261__Human_betaherpesvirus_6B__32604.pdb
470	E115__YP_007016506__Murid_betaherpesvirus_8__1261657	envelope_glycoprotein_L__YP_073820__Human_betaherpesvirus_7__10372	envelope_glycoprotein_L	YP_073820	Human_betaherpesvirus_7	;10372;	21	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human_betaherpesvirus_7	viral_structures/Herpesviridae/envelope_glycoprotein_L__YP_073820__Human_betaherpesvirus_7__10372.pdb
470	E115__YP_007016506__Murid_betaherpesvirus_8__1261657	envelope_glycoprotein_L__YP_004936074__Cercopithecine_betaherpesvirus_5__50292	envelope_glycoprotein_L	YP_004936074	Cercopithecine_betaherpesvirus_5	;50292;	21	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Cytomegalovirus	Cercopithecine_betaherpesvirus_5	viral_structures/Herpesviridae/envelope_glycoprotein_L__YP_004936074__Cercopithecine_betaherpesvirus_5__50292.pdb
470	E115__YP_007016506__Murid_betaherpesvirus_8__1261657	glycoprotein_L__NP_042975__Human_betaherpesvirus_6A__32603	glycoprotein_L	NP_042975	Human_betaherpesvirus_6A	;32603;	21	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Roseolovirus	Human_betaherpesvirus_6A	viral_structures/Herpesviridae/glycoprotein_L__NP_042975__Human_betaherpesvirus_6A__32603.pdb
2863	hemagglutinin-esterase-fusion__YP_089655__Influenza_C_virus_-C_Ann_Arbor_1_50-__11553	hemagglutinin-esterase-fusion__YP_089655__Influenza_C_virus_-C_Ann_Arbor_1_50-__11553	hemagglutinin-esterase-fusion	YP_089655	Influenza_C_virus_-C_Ann_Arbor_1_50-	;11553;	4	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Gammainfluenzavirus	Influenza_C_virus_(C/Ann_Arbor/1/50)	viral_structures/Orthomyxoviridae/hemagglutinin-esterase-fusion__YP_089655__Influenza_C_virus_-C_Ann_Arbor_1_50-__11553.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	CPXV033__NP_619822__Cowpox_virus__10243	CPXV033	NP_619822	Cowpox_virus	;10243;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Cowpox_virus	viral_structures/Poxviridae/CPXV033__NP_619822__Cowpox_virus__10243.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	Hypothetical_protein_YMTVg151R__NP_938402__Yaba_monkey_tumor_virus__38804	Hypothetical_protein_YMTVg151R	NP_938402	Yaba_monkey_tumor_virus	;38804;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba_monkey_tumor_virus	viral_structures/Poxviridae/Hypothetical_protein_YMTVg151R__NP_938402__Yaba_monkey_tumor_virus__38804.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	1L_protein__NP_073386__Yaba-like_disease_virus__132475	1L_protein	NP_073386	Yaba-like_disease_virus	;132475;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba-like_disease_virus	viral_structures/Poxviridae/1L_protein__NP_073386__Yaba-like_disease_virus__132475.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	hypothetical_protein_VARVgp011__NP_042055__Variola_virus__10255	hypothetical_protein_VARVgp011	NP_042055	Variola_virus	;10255;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Variola_virus	viral_structures/Poxviridae/hypothetical_protein_VARVgp011__NP_042055__Variola_virus__10255.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	hypothetical_protein_VACWR010__YP_232892__Vaccinia_virus__10245	hypothetical_protein_VACWR010	YP_232892	Vaccinia_virus	;10245;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia_virus	viral_structures/Poxviridae/hypothetical_protein_VACWR010__YP_232892__Vaccinia_virus__10245.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	hypothetical_protein_VACWR209__YP_233091__Vaccinia_virus__10245	hypothetical_protein_VACWR209	YP_233091	Vaccinia_virus	;10245;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia_virus	viral_structures/Poxviridae/hypothetical_protein_VACWR209__YP_233091__Vaccinia_virus__10245.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	IL-1_receptor_antagonist__YP_010085477__Akhmeta_virus__2200830	IL-1_receptor_antagonist	YP_010085477	Akhmeta_virus	;2200830;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Akhmeta_virus	viral_structures/Poxviridae/IL-1_receptor_antagonist__YP_010085477__Akhmeta_virus__2200830.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	hypothetical_protein_VARVgp003__NP_042047__Variola_virus__10255	hypothetical_protein_VARVgp003	NP_042047	Variola_virus	;10255;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Variola_virus	viral_structures/Poxviridae/hypothetical_protein_VARVgp003__NP_042047__Variola_virus__10255.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	151R_protein__NP_073536__Yaba-like_disease_virus__132475	151R_protein	NP_073536	Yaba-like_disease_virus	;132475;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba-like_disease_virus	viral_structures/Poxviridae/151R_protein__NP_073536__Yaba-like_disease_virus__132475.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	IL-1_receptor_antagonist__YP_009408406__NY_014_poxvirus__2025360	IL-1_receptor_antagonist	YP_009408406	NY_014_poxvirus	;2025360;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Centapoxvirus	NY_014_poxvirus	viral_structures/Poxviridae/IL-1_receptor_antagonist__YP_009408406__NY_014_poxvirus__2025360.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	hypothetical_protein_VACWR024__YP_232906__Vaccinia_virus__10245	hypothetical_protein_VACWR024	YP_232906	Vaccinia_virus	;10245;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Vaccinia_virus	viral_structures/Poxviridae/hypothetical_protein_VACWR024__YP_232906__Vaccinia_virus__10245.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	IL-1_receptor_antagonist__YP_010085466__Akhmeta_virus__2200830	IL-1_receptor_antagonist	YP_010085466	Akhmeta_virus	;2200830;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Akhmeta_virus	viral_structures/Poxviridae/IL-1_receptor_antagonist__YP_010085466__Akhmeta_virus__2200830.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	C4L_C10L-like_family_protein__YP_010377015__Monkeypox_virus__10244	C4L_C10L-like_family_protein	YP_010377015	Monkeypox_virus	;10244;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Monkeypox_virus	viral_structures/Poxviridae/C4L_C10L-like_family_protein__YP_010377015__Monkeypox_virus__10244.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	Hypothetical_protein_YMTVg1L__NP_938263__Yaba_monkey_tumor_virus__38804	Hypothetical_protein_YMTVg1L	NP_938263	Yaba_monkey_tumor_virus	;38804;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba_monkey_tumor_virus	viral_structures/Poxviridae/Hypothetical_protein_YMTVg1L__NP_938263__Yaba_monkey_tumor_virus__38804.pdb
288	C4L_C10L-like_protein__YP_009177026__Turkeypox_virus__336486	CPXV022_protein__NP_619811__Cowpox_virus__10243	CPXV022_protein	NP_619811	Cowpox_virus	;10243;	33	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Cowpox_virus	viral_structures/Poxviridae/CPXV022_protein__NP_619811__Cowpox_virus__10243.pdb
422	nucleocapsid_protein,_partial__YP_009666120__Artashat_orthonairovirus__2170061	nucleoprotein__YP_009246487__Kasokero_virus__1712570	nucleoprotein	YP_009246487	Kasokero_virus	;1712570;	24	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Kasokero_virus	viral_structures/Nairoviridae/nucleoprotein__YP_009246487__Kasokero_virus__1712570.pdb
422	nucleocapsid_protein,_partial__YP_009666120__Artashat_orthonairovirus__2170061	nucleocapsid_protein__YP_009227120__Tofla_virus__1615758	nucleocapsid_protein	YP_009227120	Tofla_virus	;1615758;	24	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Tofla_virus	viral_structures/Nairoviridae/nucleocapsid_protein__YP_009227120__Tofla_virus__1615758.pdb
422	nucleocapsid_protein,_partial__YP_009666120__Artashat_orthonairovirus__2170061	nucleocapsid_protein__YP_009304988__Tacheng_Tick_Virus_1__1608083	nucleocapsid_protein	YP_009304988	Tacheng_Tick_Virus_1	;1608083;	24	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Tacheng_Tick_Virus_1	viral_structures/Nairoviridae/nucleocapsid_protein__YP_009304988__Tacheng_Tick_Virus_1__1608083.pdb
422	nucleocapsid_protein,_partial__YP_009666120__Artashat_orthonairovirus__2170061	nucleocapsid__YP_009361831__Nairobi_sheep_disease_virus__194540	nucleocapsid	YP_009361831	Nairobi_sheep_disease_virus	;194540;	24	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Nairobi_sheep_disease_virus	viral_structures/Nairoviridae/nucleocapsid__YP_009361831__Nairobi_sheep_disease_virus__194540.pdb
352	Crescent_membrane_immature_virion_protein__YP_009480614__Sea_otter_poxvirus__1416741	ORF063_hypothetical_protein__NP_957840__Orf_virus__10258	ORF063_hypothetical_protein	NP_957840	Orf_virus	;10258;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Parapoxvirus	Orf_virus	viral_structures/Poxviridae/ORF063_hypothetical_protein__NP_957840__Orf_virus__10258.pdb
352	Crescent_membrane_immature_virion_protein__YP_009480614__Sea_otter_poxvirus__1416741	MC088R__NP_044039__Molluscum_contagiosum_virus_subtype_1__10280	MC088R	NP_044039	Molluscum_contagiosum_virus_subtype_1	;10280;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Molluscipoxvirus	Molluscum_contagiosum_virus_subtype_1	viral_structures/Poxviridae/MC088R__NP_044039__Molluscum_contagiosum_virus_subtype_1__10280.pdb
352	Crescent_membrane_immature_virion_protein__YP_009480614__Sea_otter_poxvirus__1416741	78R__NP_938333__Yaba_monkey_tumor_virus__38804	78R	NP_938333	Yaba_monkey_tumor_virus	;38804;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Yatapoxvirus	Yaba_monkey_tumor_virus	viral_structures/Poxviridae/78R__NP_938333__Yaba_monkey_tumor_virus__38804.pdb
352	Crescent_membrane_immature_virion_protein__YP_009480614__Sea_otter_poxvirus__1416741	hypothetical_protein_VARVgp090__NP_042134__Variola_virus__10255	hypothetical_protein_VARVgp090	NP_042134	Variola_virus	;10255;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Variola_virus	viral_structures/Poxviridae/hypothetical_protein_VARVgp090__NP_042134__Variola_virus__10255.pdb
352	Crescent_membrane_immature_virion_protein__YP_009480614__Sea_otter_poxvirus__1416741	CPXV117_protein__NP_619901__Cowpox_virus__10243	CPXV117_protein	NP_619901	Cowpox_virus	;10243;	29	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Cowpox_virus	viral_structures/Poxviridae/CPXV117_protein__NP_619901__Cowpox_virus__10243.pdb
